Lot Number,Region,In-Country Partner
2022 Tainan City Specialty Coffee Evaluation Batch,"(Dongshan Dist., Tainan City)",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
10 1.1,ESTELI,Specialty Coffee Association
"The 2022 Pacific Rim Coffee Summit,T036",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T042",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,VN02",Quang Tri,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CQU2022018,"Los Santos,Tarrazu",Japan Coffee Exchange
A37-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
36,"Centro, Lagunetillas-Ajuterique, Comayagua",Honduran Coffee Institute
712,Ethiopia,Blossom Valley International Chenyi International
2021/11,Yuli Township Yuli Township,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T031",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
11-63-657,Huehuetenango,National Coffee Association
Islander’s Coffee for Pacific Rim Summit,Ka'u district of Big Island,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
65,Addis Ababa,METAD Agricultural Development plc
"The 2022 Pacific Rim Coffee Summit,SV01",Chalatenango,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
NPCO-17418,Sierra Nevada de Santa Marta,COLOMBIAN ASSOCIATION FOR COFFEE EXCELLENCE
CQU2022018,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",Japan Coffee Exchange
11/15/96,Atitlán,National Coffee Association
1,Itasy,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
8,"Centro, Lagunetillas-Ajuterique, Comayagua",Honduran Coffee Institute
11/441/49,Quiche,National Coffee Association
A32-Northern Taiwan Specialty Coffee Evaluation,New Taipei City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T017",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
11/15/51,Oriente Santa rosa,National Coffee Association
11/15/59,Sierra de las minas,National Coffee Association
"The 2022 Pacific Rim Coffee Summit,HN04","San Andrés, Lempira",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CN 4127230031/P-9139,ARUSHA,Kenya Coffee Traders Association
1077,Sidama,Agroecological Coffee Center A.C.
CN 4127220159/4189220459,KILIMANJARO,Kenya Coffee Traders Association
3-002-00883,Huila,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
12077-01,Tarrazu,Specialty Coffee Association of Costa Rica
"The 2022 Pacific Rim Coffee Summit,GT01",New Oriente,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
11/15/95,Atitlán,National Coffee Association
CQU2022016,Nan,Japan Coffee Exchange
3/37/1370,Pereira,Japan Coffee Exchange
11/63/908,HUEHUETENANGO,National Coffee Association
AMNI-22-0905,ANTIGUA GUATEMALA,National Coffee Association
1,Sidama,Kenya Coffee Traders Association
3-0068-00886,Cauca,COLOMBIAN ASSOCIATION FOR COFFEE EXCELLENCE
"The 2022 Pacific Rim Coffee Summit,US02",Ka'u,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,CO02",Tolima,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
312,Chiapas,Agroecological Coffee Center A.C.
nan,nan,Barista and Coffee Academy of Asia
202203,"C Aoling, GU Keng township, Y UN Lin county",Blossom Valley International Chenyi International
"The 2022 Pacific Rim Coffee Summit,MM01",South Shan State,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A05-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,HN01","San Jose, La Paz",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A30-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A14-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
P-4142,QUICHE,National Coffee Association
AMNI-22-6011-1,Marcala,Honduran Coffee Institute
3-0104-00202 Popayán Supremo,Popayán Cauca,COLOMBIAN ASSOCIATION FOR COFFEE EXCELLENCE
BOURBON 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
1,OROMIA,METAD Agricultural Development plc
CQU2022011,SU Anya lung,Japan Coffee Exchange
035/170/5021210,Mt Elgon,Uganda Coffee Development Authority
"The 2022 Pacific Rim Coffee Summit,T022",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
7969,Rwenzori,Uganda Coffee Development Authority
A04-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
1,NEW ORIENTE & HUEHUETENANGO,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A21-Northern Taiwan Specialty Coffee Evaluation,Taoyuan City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
1,Sierra Nevada de Santa Marta,FABB Academy of Coffee
12074,Tarrazu,Specialty Coffee Association of Costa Rica
"The 2022 Pacific Rim Coffee Summit,T019",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
TYPICA 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
CN 4127220163/4189220459,KILIMANJARO,Kenya Coffee Traders Association
004/22,Sul de Minas,Brazil Specialty Coffee Association
A41-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CQU2023003,Quindio,Japan Coffee Exchange
"The 2022 Pacific Rim Coffee Summit,HN03","Marcala, La Paz",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
AMNI-22-6011-2,Marcala,Honduran Coffee Institute
A35-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A20-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
DCN03.11.2022,"Nongluang Bolaven Plateau, Champasack, Lao PDR",Specialty Coffee Association of Indonesia
187,"Centro, Lagunetillas - Ajuterique, Comayagua",Honduran Coffee Institute
198,"Los Planes de Santa Maria, La Paz",Honduran Coffee Institute
3-59-0654,HUILA,COLOMBIAN ASSOCIATION FOR COFFEE EXCELLENCE
A17-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
1,"ZONGOLICA, VERACRUZ",Agroecological Coffee Center A.C.
CQU2022013,Quindio,Japan Coffee Exchange
202203,"Shibi, Gukeng Township, Yunlin County zip code, Taiwan (R.O.C.)",Blossom Valley International Chenyi International
273,Marcala,Honduran Coffee Institute
GAYO 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
VHA-S3,"Eatan Commune, Krong Nang District, Krong Nang Province",Specialty Coffee Association
017-053-0017,Matagalpa,Nicaraguan Specialty Coffee Association
"The 2022 Pacific Rim Coffee Summit,CR01",west Village,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
3/01/12857,Huila,Japan Coffee Exchange
CATURRA 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
21/22,Chiang Mai,Specialty Coffee Institute of Thailand
197,los planes de santa maria la paz,Honduran Coffee Institute
A01-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A22-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
4-3.1,ESTELI,Specialty Coffee Association
Jan-26,Apaneca-Ilamatepec,Salvadoran Coffee Council
P03769,Boquete,Specialty Coffee Association of Costa Rica
MVB-QCert-001/2022,MANTIQUEIRA / SUL DE MINAS,Brazil Specialty Coffee Association
"The 2022 Pacific Rim Coffee Summit,US03",Kona,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,MX01",Veracruz,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
185,"Centro, Lagunetillas - Ajuterique, Comayagua",Honduran Coffee Institute
A02-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
1,"Matagalpa, Nicaragua",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
Apollo Washed 2021,Dalat,Specialty Coffee Association
Jan-26,Apaneca-Ilamatepec,Salvadoran Coffee Council
Jan-74,Apaneca-Ilamatepec,Salvadoran Coffee Council
A48-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
PR138,"Chanchamayo, La Merced",Japan Coffee Exchange
Islander’s Coffee for Pacific Rim Summit,Kona district of Big Island,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CQU2023004,Kericho,Japan Coffee Exchange
184,"Centro, Lagunetillas - Ajuterique, Comayagua",Honduran Coffee Institute
A43-Northern Taiwan Specialty Coffee Evaluation,Taoyuan City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A34-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A50-Northern Taiwan Specialty Coffee Evaluation,Taoyuan City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
MIXED DT 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
S019194-P04178,Corralillo Tarrazu,Specialty Coffee Association of Costa Rica
SA4238,Oriente,Japan Coffee Exchange
015/1686/057,Sumatra,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
301R,"Chanchamayo, La Merced",Japan Coffee Exchange
GF-23392,Antigua,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A10-Northern Taiwan Specialty Coffee Evaluation,Taoyuan City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
221221,Lam Dong Province,Firedancer Coffee Consultants
CQU2023007,Mantiquira de minas,Japan Coffee Exchange
1,Sul de Minas,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
1,Santander,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
2,"Coatepec, Veracruz",Agroecological Coffee Center A.C.
OIC 5-019-0037/Contentedor: DRYU3106597/Cliente: O COFFEE,occidente,Specialty Coffee Association of Costa Rica
A46-Northern Taiwan Specialty Coffee Evaluation,New Taipei City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A38-Northern Taiwan Specialty Coffee Evaluation,Taipei City,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
JAVA 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
"The 2022 Pacific Rim Coffee Summit,TH07",Chiang Rai,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
MIXED 21/22 (Coffea Arabica),North of Thailand,FABB Academy of Coffee
CQU2022019,Cauca,Japan Coffee Exchange
38,Alta Mogiana-Ibiraci,Japan Coffee Exchange
0623C01,"Volcan Chinchontepek, San Vicente, El Salvador",Salvadoran Coffee Council
017/053/0603,nan,Japan Coffee Exchange
1,Jinotega,Nicaraguan Specialty Coffee Association
CQU2023001,"Caicedonia,Valle del Cauca",Japan Coffee Exchange
PR137,"Chanchamayo, Lamerced",Japan Coffee Exchange
0523B01,"Volcan Chinchontepek, San Vicente, El Salvador",Salvadoran Coffee Council
002/1738/0029,Alta Mogiana-Ibiraci,Japan Coffee Exchange
019/22,Sul de Minas,Brazil Specialty Coffee Association
017-053-0155,Matagalpa,Nicaraguan Specialty Coffee Association
105/3/VL7285-005,Bolaven Plateau,Japan Coffee Exchange
0423A01,"Volcan de San Vicente, La Paz, El Salvador",Salvadoran Coffee Council
1058 y 1059,Minas Gerais,Agroecological Coffee Center A.C.
